"","Character","Script","Script_lemm"
"135","DOCTOR1"," Really? In here? Are you sure? ","really sure"
"137","DOCTOR1","   One of their pupils, not the police, then. ","one pupils police"
"141","DOCTOR1"," Your hearing must be very acute. I didn't hear anything. ","hearing must acute hear anything"
"145","DOCTOR1"," Young man, is it reasonable to suppose that anybody would be inside a cupboard like that, hmm? ","young man reasonable suppose anybody would inside cupboard like hmm"
"147","DOCTOR1"," I wonder why I've never seen that before. Now isn't that strange. Very damp and dirty. ","wonder never see strange damp dirty"
"149","DOCTOR1"," Have to be cleaned. Hmm? Oh, I'm afraid it's none of my business. I suggest you leave here. ","clean hmm afraid none business suggest leave"
"151","DOCTOR1"," Yours leaves a lot to be desired. ","leaf lot desire"
"155","DOCTOR1"," Afraid? Oh, go away. ","afraid away"
"159","DOCTOR1"," Oh, am I? I don't think so, young man. No, I don't think so. ","think young man think"
"164","DOCTOR1"," Don't you think you're being rather high-handed, young man? You thought you saw a young girl enter the yard. You imagine you heard her voice. You believe she might be inside there. It's not very substantial, is it? ","think rather high hand young man think saw young girl enter yard imagine heard voice believe might inside substantial"
"166","DOCTOR1"," I'm not hindering you. If you both want to make fools of yourselves, I suggest you do what you said you'd do. Go and find a policeman. ","hinder want make fool suggest say find policeman"
"168","DOCTOR1"," Insulting. There's only one way in and out of this yard. I shall be here when you get back. I want to see your faces when you try to explain away your behaviour to a policeman. ","insult one way yard shall get back want see face try explain away behaviour policeman"
"172","DOCTOR1"," Close the door! ","close door"
"174","DOCTOR1"," Close the door, Susan. I believe these people are known to you.","close door susan believe people know"
"177","DOCTOR1"," They must have followed you. That ridiculous school. I knew something like this would happen if we stayed in one place too long. ","must follow ridiculous school know something like would happen stay one place long"
"187","DOCTOR1"," I don't discuss my private life with strangers. ","discus private life stranger"
"189","DOCTOR1"," You don't deserve any explanations. You pushed your way in here uninvited and unwelcome. ","deserve explanation push way uninvited unwelcome"
"192","DOCTOR1"," Oh dear, dear, dear dear. This is very ","dear dear dear dear"
"194","DOCTOR1"," It's stopped again, you know, and I've tried hmm? Oh, you wouldn't understand. ","stop know tried hmm understand"
"196","DOCTOR1"," Yes, yes, yes, yes, yes, yes. By the way, Susan, I managed to find a replacement for that faulty filament. It's an amateur job, but I think it'll serve. ","yes yes yes yes yes yes way susan manage find replacement faulty filament amateur job think serve"
"200","DOCTOR1"," You don't understand, so you find excuses. Illusions, indeed? You say you can't fit an enormous building into one of your smaller sitting rooms. ","understand find excuse illusion indeed say fit enormous build one small sitting room"
"202","DOCTOR1"," But you've discovered television, haven't you? ","discover television"
"204","DOCTOR1"," Then by showing an enormous building on your television screen, you can do what seemed impossible, couldn't you? ","show enormous building television screen seem impossible"
"206","DOCTOR1"," Not quite clear, is it. I can see by your face that you're not certain. You don't understand. And I knew you wouldn't. Never mind. Now then, which switch was it? No. No, no. Ah yes, that is it. The point is not whether you understand. What is going to happen to you, hmm? They'll tell everybody about the ship now. ","quite clear see face certain understand know never mind switch yes point whether understand go happen hmm tell everybody ship"
"208","DOCTOR1"," Yes, yes, ship. This doesn't roll along on wheels, you know. ","yes yes ship roll along wheel know"
"219","DOCTOR1"," Now, now, don't get exasperated, Susan. Remember the Red Indian. When he saw the first steam train, his savage mind thought it an illusion, too. ","get exasperate susan remember red indian saw first steam train savage mind think illusion"
"221","DOCTOR1"," Am I? The children of my civilisation would be insulted. ","child civilisation would insult"
"223","DOCTOR1"," Yes, my civilisation. I tolerate this century, but I don't enjoy it. Have you ever thought what it's like to be wanderers in the fourth dimension? Have you? To be exiles? Susan and I are cut off from our own planet, without friends or protection. But one day we shall get back. Yes, one day. One day. ","yes civilisation tolerate century enjoy ever think like wanderer fourth dimension exile susan cut planet without friend protection one day shall get back yes one day one day"
"236","DOCTOR1"," You still think it's all an illusion? ","still think illusion"
"238","DOCTOR1"," Your arrogance is nearly as great as your ignorance.","arrogance nearly great ignorance"
"246","DOCTOR1"," And by tomorrow we shall be a public spectacle, a subject for news and idle gossip.","tomorrow shall public spectacle subject news idle gossip"
"248","DOCTOR1"," My dear child, of course they will. Put yourself in their place. They are bound to make some sort of a complaint to the authorities, or at the very least talk to their friends. If I do let them go, Susan, you realise of course we must go, too.","dear child course put place bound make sort complaint authority least talk friend let susan realise course must"
"250","DOCTOR1"," There's no alternative, child. ","alternative child"
"254","DOCTOR1"," Now you're being sentimental and childish. ","sentimental childish"
"256","DOCTOR1"," Very well. Then you must go with them. I'll open the door.","well must open door"
"261","DOCTOR1"," Get back to the ship, child. Hold it.  ","get back ship child hold"
"284","DOCTOR1"," Layer of sand, rock formation. Good. ","layer sand rock formation good"
"286","DOCTOR1"," Oh, yes, undoubtedly. I'll be able to tell you where presently. Zero? That's not right. I'm afraid this yearometer is not calculating properly. Hm! Well, anyway, the journey's finished.   What are you doing down there? ","yes undoubtedly able tell presently zero right afraid yearometer calculate properly well anyway journey finish"
"290","DOCTOR1"," Yes, look up there. They don't understand and I suspect they don't want to. Well, there you are. A new world for you. ","yes look understand suspect want well new world"
"292","DOCTOR1"," Yes, that's the immediate view outside the ship. ","yes immediate view outside ship"
"297","DOCTOR1"," You really are a stubborn young man, aren't you? ","really stubborn young man"
"300","DOCTOR1"," They are saying I'm a charlatan. What concrete evidence would satisfy you? ","say charlatan concrete evidence would satisfy"
"302","DOCTOR1"," Eh? Doctor who? What's he talking about? ","doctor talk"
"309","DOCTOR1"," Not until I'm quite sure it's safe to do so. Well, yes, good. Yes, it is, it's good. Excellent, excellent. You've got the radiation counter there. What's it read? ","quite sure safe well yes good yes good excellent excellent get radiation counter read"
"311","DOCTOR1"," Splendid, splendid. Well, I think I'll take my Geiger counter with me in any case. So, you still challenge me, young man? ","splendid splendid well think take geiger counter case still challenge young man"
"313","DOCTOR1"," You're so narrow-minded, aren't you? Don't be so insular. ","narrow mind insular"
"315","DOCTOR1"," Yes, we've gone back in time, all right. One or two samples and I shall be able to make an estimate. With rock pieces and a few plants. But I do wish this wouldn't keep letting me down. However, we can go out now. ","yes go back time right one two sample shall able make estimate rock piece plant wish keep let however"
"317","DOCTOR1"," Yes, quite so. ","yes quite"
"319","DOCTOR1"," That is quite correct. But your tone suggests ridicule. ","quite correct tone suggest ridicule"
"321","DOCTOR1"," Really? Where does time go, then? ","really time"
"323","DOCTOR1","   You're not as doubtful as your friend, I hope? ","doubtful friend hope"
"327","DOCTOR1"," If you could touch the alien sand and hear the cries of strange birds and watch them wheel in another sky, would that satisfy you? ","could touch alien sand hear cry strange bird watch wheel another sky would satisfy"
"332","DOCTOR1"," Well I've no more time to argue with you. I must get some samples, Susan. ","well time argue must get sample susan"
"334","DOCTOR1","   Oh, dear, it's disgusting really. ","dear disgust really"
"340","DOCTOR1"," It's still a police box. Why hasn't it changed? Dear, dear, how very disturbing. ","still police box change dear dear disturb"
"413","DOCTOR1"," I can make fire for you. Let me go and I'll make all the fire you want. You don't have to be afraid of me. I'm an old man. How can an old man like me harm any of you? ","make fire let make fire want afraid old man old man like harm"
"418","DOCTOR1","   My matches. Where are they? I must get back. Must get back to the ship. ","match must get back must get back ship"
"420","DOCTOR1"," Take me back to my ship and I will make fire for you. All the fire you want. ","take back ship make fire fire want"
