,Script,Era
42487, It's a waste of time asking the computer.,Classic
29896, But he needs water. ,Classic
21647, Autogiro. Giro dynamo. ,Classic
26021," No, no, no, no, no. ",Classic
137426, One of the Doctor's gadgets? ,Classic
128212," Yes. I'm so sorry, Tegan. I'm so sorry.   The Master's already at work on Logopolis. I'm going to stop him if it's the last thing I do. ",Classic
31558, Having first attacked one of the engineers. I'd detain the Governor on evidence like that. ,Classic
147087, I'd rather stay. I think I could be some use here. ,Classic
5931, My handmaiden remains with me. The others may do as you wish. ,Classic
136413, This is your booth. I'm beginning to regret this. I hope for you sake that I'm not going to be disappointed. ,Classic
72032," Devil's End. The very name sends a shiver up the spine. The witches of Devil's End, the famous curse, the notorious cavern underneath the church where the third Lord of Aldbourne played at his eighteen century parody of black magic. Devil's End is part of the dark mythology of our childhood days. And now, for the first time, the cameras of the BBC have been allowed inside the cavern itself. In this cavern, pagan man performed his unspeakable rites. In this cavern, the witches of the seventeenth century hid from the fires of Matthew Hopkins, witch-hunter extraordinary. In this cavern. But I could go on all day.   There is something strange about Devil's End. Is Professor Horner being as foolish as his critics would suggest? I must admit, standing here in this unquiet place, I'm beginning to wonder myself.",Classic
111022," Five four two lever. Five four two lever.   Steady, old girl. This won't hurt a bit. ",Classic
160458," Yes. I was wondering, if we were to get into it and drive off, what would you do? ",Classic
146853," You will suffer for this humiliation, all of you. ",Classic
147034," No, quickly. You must destroy his body, otherwise he will return to it. ",Classic
149100," Those men didn't look as if they'd come straight from the mine, did they? They were clean.   Thank you, Luke. ",Classic
54576, Sir! ,Classic
90266," Wait! Wait, my sisters, do not be so hasty. I merely wanted to be sure. ",Classic
143860, Hurry. There is much work to be done. ,Classic
51653, You will recall all Quarks from their positions and prepare the craft for take off. ,Classic
43756, Me? I'm the nicest possible person. ,Classic
155805, They'll spare no one. ,Classic
93425," Nevertheless, someone has, and his treachery has resulted in the total extermination of our people. ",Classic
57696," Well, you don't still want the beacon cutting up? ",Classic
120432," Pure cadmium. That didn't come from this mine.   A nugget of iron. Iron ore I could understand, but pure iron? I wonder where it came from?   Hello. Friend. Friend. It's all right, it's all right. Look, you can see I'm not armed, eh? I won't hurt you. How could I hurt you? I mean, how? You've got beautiful skin. Extraordinary skin. Green veins. Chlorophyll? I wonder. Well, if it's chlorophyll you need, you've come to the right place. Chlorophyll? I wonder. No, don't get frightened. It's all right, it's all right. Shush. Shush.   There. There, that's not so bad now, is it. Good girl. Good boy. You're a problem, you know. You're aware of me, yet you haven't got any eyes. Haven't got a mouth. At least, not one that I can see. Come to think of it, you haven't even got a head. So how do we communicate, hmm? Telepathy?   Hello? I am the Doctor. Friend. Friend.   Hello. I am the Doctor. Friend. Friend. Nothing. Not a thing. How are we going to talk to each other, eh? Why can't we talk to each other? How do you communicate with your own kind?   Steady. Steady, friend. You don't know your own. Easy. Friend. Friend.   What's that? A picture? I've seen that somewhere before. ",Classic
29022," Oh, thank you very much. Thank you. Come on, help me sort these out. ",Classic
130804," Well, on the whole, one. ",Classic
147848, We know. And we know what you're about to ask. ,Classic
97791," One of the foremost neurosurgeons of your time. Considerably after your time, Sarah. Yes, your disappearance caused quite a stir. It was said by some you'd joined the followers of the cult of Morbius. ",Classic
87581, Here she comes! ,Classic
79050, Increasing power. ,Classic
132466, So? ,Classic
79683,"   Corporal Palmer. Come in, Palmer. ",Classic
104182, The theatre? ,Classic
113914," Oh no, I'm not giving you a second chance. ",Classic
100002, And the Doctor? ,Classic
28613," Yes, well, I think we'd better have a look inside first. Send some of your men in. ",Classic
33992," What is it, Ara? ",Classic
118195, What? ,Classic
65137," Doctor, can you see the object? What is it?",Classic
22940," Take him away and exterminate him, but do not fire in here. You will damage us and some of the controls. ",Classic
156690," I knew you weren't finished, Rani. I told Mel as much. ",Classic
2116, Where? ,Classic
33892, No! Wait! I have something important to say. ,Classic
83601," No, not yet. ",Classic
82711, Yes. ,Classic
123630, It's useless. The doors won't open while it's running. ,Classic
32424, Now! ,Classic
5467," Yes, he went in, killed his colleague, heard Chesterton in the hall, hid behind the door and the rest we know. ",Classic
44441," Yes, all right.   This is just about the end of a perfect day.   Here, I know the food's bad, but you don't have to go that far!  All right, have it your own way. Why did I ever leave Woolloomooloo?",Classic
124335, I thought it was already programmed. ,Classic
22718, Exactly! He no longer merits a place on this Galactic Council. I call for a censure motion. ,Classic
31467," Yes, Marco Polo, a friend. I believe he was. ",Classic
17539, I have a Winchester '73 right in the middle of your spinal cord.   Proceed.   Wait. ,Classic
51528, And that will almost certainly fracture the crust of the planet. ,Classic
34594, Your people? Your people? They are my people now. I hold their whole world in my power. ,Classic
29991, Strange terms indeed. ,Classic
120997, It's just a question of exciting the molecules. Put your ship on full thrust. ,Classic
161300, Are you a patient with him? ,Classic
17584," Silence, you old fool! ",Classic
37844, Report to the flight deck immediately. ,Classic
161573," Always I have treated you badly. I have done you no service, shown you no kindness, and yet you risk your life to save me. Why so? ",Classic
69163, Right sir.   Jupiter to Venus. Jupiter to Venus. Do you read me? Over.,Classic
94262, It was a matter of internal discipline. ,Classic
45741," Hey, look. What's happening? ",Classic
160785, You're right. They've all gone to ground. ,Classic
87425," Well, there you are, Sarah. I told you I'd get you home safely, didn't I. ",Classic
26243," Ride out, Doc. ",Classic
69576, I see. Aren't you forgetting something? ,Classic
120598," You've bitten off more than you can chew, haven't you. ",Classic
91867," I say, that's a bit brusque, isn't it? I mean, if it hadn't been for the Doctor ",Classic
142868, The thing that brings down the bombardment. ,Classic
85929," That's a Sontaran spaceship, to be precise, and tremendously powerful for its size, just like its owner. Here, give me your habit. ",Classic
114173," Mmm. Well done, Professor. I knew she must have them somewhere, it's the only way she could power that wand of hers.   Yes. ",Classic
134498," It's your powerhouse, is it? ",Classic
23619," Your Majesty, I must beg to be excused. I have work which must be done. ",Classic
127823," You're not an air stewardess yes, dear. ",Classic
18018, They send the machines to tell us lies. We do not wish to hear them. ,Classic
148540, One last request? Yes? ,Classic
2658," Don't underestimate my powers, young lady. ",Classic
57833, What are you doing in this system and why you are not on feedback to Central Flight Information? ,Classic
93767, The meeting's about to begin. Will you come? ,Classic
90325," If you do not, I see only disaster ahead for all of us. ",Classic
