"","Series_Episode","Director","Writer","Runtime","Character","Location","Scene","Script","WordsInLine","Rating"
"1","S10E1","Other","Bob Baker, Dave Martin",98,16,19,19,1062,10989,8.225
"2","S10E2","Barry Letts","Robert Holmes",98,12,11,11,1179,11205,7.775
"3","S10E3","Other","Malcolm Hulke",144,30,30,30,1298,16190,7.53333333333333
"4","S10E4","David Maloney","Terry Nation",142,14,23,23,1116,11012,7.35
"5","S10E5","Michael E. Briant","Other",154,25,34,34,1534,14957,8.01666666666667
"6","S11E1","Other","Robert Holmes",97,17,19,19,901,10919,7.975
"7","S11E2","Other","Malcolm Hulke",149,29,32,32,1279,13512,7.38333333333333
"8","S11E3","Michael E. Briant","Terry Nation",98,13,21,21,651,6949,7.275
"9","S11E4","Other","Brian Hayles",147,17,20,20,1250,14608,6.65
"10","S11E5","Barry Letts","Other",148,38,38,38,1369,13135,7.58333333333333
"11","S12E1","Christopher Barry","Other",97,11,23,23,783,9105,7.425
"12","S12E2","Other","Robert Holmes",99,12,11,11,1034,9039,8.125
"13","S12E3","Other","Bob Baker, Dave Martin",49,9,10,10,395,3728,7.3
"14","S12E4","David Maloney","Terry Nation",143,24,23,23,979,12348,8.96666666666667
"15","S12E5","Michael E. Briant","Other",96,18,20,20,877,8934,7.025
"16","S13E1","Douglas Camfield","Other",96,20,29,29,754,7177,8.175
"17","S13E2","David Maloney","Other",94,13,18,18,694,6097,7.5
"18","S13E3","Other","Other",99,14,22,22,657,6261,8.45
"19","S13E4","Barry Letts","Terry Nation",97,16,34,34,762,7111,7.4
"20","S13E5","Christopher Barry","Other",99,9,10,10,770,8351,8.275
"21","S13E6","Douglas Camfield","Other",144,24,32,32,1203,11480,8.55
"22","S14E1","Other","Other",100,17,19,19,752,8248,7.4
"23","S14E2","Other","Bob Baker, Dave Martin",99,17,27,27,861,7985,7.775
"24","S14E3","David Maloney","Robert Holmes",94,19,14,14,701,7687,8.4
"25","S14E4","Pennant Roberts","Other",100,16,27,27,902,8158,7.55
"26","S14E5","Michael E. Briant","Other",96,24,18,18,1016,9056,8.475
"27","S14E6","David Maloney","Robert Holmes",146,21,30,30,1225,13107,8.58333333333333
"28","S15E1","Other","Other",96,12,12,12,974,8918,8.075
"29","S15E2","Other","Bob Baker, Dave Martin",92,18,16,16,809,7175,6.95
"30","S15E3","Other","Other",95,13,15,15,820,8179,7.475
"31","S15E4","Pennant Roberts","Robert Holmes",100,17,20,20,1150,10641,7.6
"32","S15E5","Other","Bob Baker, Dave Martin",89,21,24,24,944,7006,6.1
"33","S15E6","Other","Other",150,22,32,32,1525,12698,7.43333333333333
"34","S16E1","Other","Robert Holmes",100,14,19,19,1091,11226,7.45
"35","S16E2","Pennant Roberts","Other",102,17,21,21,1173,11327,7.775
"36","S16E3","Other","Other",95,13,21,21,1149,10069,7.675
"37","S16E4","Other","Other",98,15,30,30,938,8625,7.35
"38","S16E5","Other","Robert Holmes",91,12,11,11,991,10069,6.625
"39","S16E6","Other","Bob Baker, Dave Martin",149,19,31,31,1565,14261,7.08333333333333
"40","S17E1","Other","Terry Nation",100,14,21,21,700,6823,7.35
"41","S17E2","Other","Other",99,19,20,20,930,9749,8.775
"42","S17E3","Christopher Barry","Other",97,16,17,17,1102,10418,6.875
"43","S17E4","Other","Other",96,16,27,27,996,9667,6.95
"44","S17E5","Other","Other",101,13,20,20,1030,9030,6.2
"45","S18E1","Other","Other",87,17,13,13,689,6557,6.5
"46","S18E2","Other","Other",87,16,18,18,784,6489,6.475
"47","S18E3","Other","Other",92,18,14,14,787,6348,7.225
"48","S18E4","Peter Moffatt","Other",94,16,20,20,850,8184,7.525
"49","S18E5","Other","Other",94,14,15,15,727,6611,7.3
"50","S18E6","Other","Other",98,13,14,14,872,9233,7.7
"51","S18E7","Other","Other",99,22,20,20,843,7818,7.8
"52","S19E1","Other","Other",96,14,25,25,768,7552,7.175
"53","S19E2","Other","Other",97,11,12,12,883,8320,6.7
"54","S19E3","Other","Other",98,13,15,15,1118,8440,7.225
"55","S19E4","Peter Moffatt","Other",96,14,30,30,893,7653,7.35
"56","S19E5","Ron Jones","Other",50,18,22,22,523,3730,7.05
"57","S19E6","Other","Other",96,23,14,14,1235,8659,8.275
"58","S19E7","Ron Jones","Other",98,22,25,25,1147,10106,6.025
"59","S1E1","Other","Other",96,13,14,14,820,8884,6.875
"60","S1E2","Christopher Barry","Terry Nation",169,16,23,23,1584,16595,7.54285714285714
"61","S1E3","Other","David Whitaker",47,4,3,3,445,4311,6.95
"62","S1E4","Other","Other",172,19,41,41,1649,17152,7.08571428571429
"63","S1E5","Other","Terry Nation",147,19,33,33,1333,15075,7.1
"64","S1E6","Other","Other",98,13,8,8,1038,9893,7.425
"65","S1E7","Other","Other",150,18,16,16,1651,18154,6.66666666666667
"66","S1E8","Other","Other",147,28,30,30,1371,15594,6.65
"67","S20E1","Ron Jones","Other",99,19,38,38,897,8040,6.875
"68","S20E2","Other","Other",98,16,18,18,995,9607,6.9
"69","S20E3","Peter Moffatt","Other",99,18,26,26,985,8464,7.65
"70","S20E4","Other","Other",100,15,25,25,810,5986,6.25
"71","S20E5","Other","Other",97,17,18,18,1046,8622,7.75
"72","S20E6","Other","Other",50,12,12,12,520,4364,6.35
"73","S20E7","Peter Moffatt","Other",90,31,29,29,909,8426,8.1
"74","S21E1","Pennant Roberts","Other",97,16,22,22,840,6942,6.375
"75","S21E2","Other","Other",50,11,15,15,521,4396,6.95
"76","S21E3","Ron Jones","Other",99,15,22,22,892,8931,6.975
"77","S21E4","Other","Other",93,22,30,30,871,7008,7.7
